product_code,fiscal_name
0,Serviço
1,Animais vivos
2,"Carnes e miudezas, comestíveis"
3,"Peixes e crustáceos, moluscos e os outros invertebrados aquáticos"
4,"Leite e laticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos em outros Capítulos da TIPI"
5,"Outros produtos de origem animal, não especificados nem compreendidos em outros Capítulos da TIPI"
6,Plantas vivas e produtos de floricultura
7,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis"
8,Frutas; cascas de cítricos e de melões
9,"Café, chá, mate e especiarias"
10,Cereais
11,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo
12,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palha e forragem"
13,"Gomas, resinas e outros sucos e extratos vegetais"
14,"Matérias para entrançar e outros produtos de origem vegetal, não especificadas nem compreendidas em outros Capítulos da NCM"
15,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal
16,"Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos"
17,Açúcares e produtos de confeitaria
18,Cacau e suas preparações
19,"Preparações à base de cereais, farinhas, amidos, féculas ou de leite; produtos de pastelaria"
20,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas"
21,Preparações alimentícias diversas
22,"Bebidas, líquidos alcoólicos e vinagres"
23,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais
24,"Fumo (tabaco) e seus sucedâneos, manufaturados"
25,"Sal; enxofre; terras e pedras; gesso, cal e cimento"
26,"Minérios, escórias e cinzas"
27,"Combustíveis minerais, óleos minerais e produtos de sua destilação; matérias betuminosas; ceras minerais"
28,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos"
29,Produtos químicos orgânicos
30,Produtos farmacêuticos
31,Adubos ou fertilizantes
32,"Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes, tintas e vernizes, mástiques; tintas de escrever"
33,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas
34,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas de modelar, ""ceras"" para dentistas e composições para dentista à base de gesso"
35,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas
36,Pólvoras e explosivos; artigos de pirotecnia; fósforos; ligas pirofóricas; matérias inflamáveis
37,Produtos para fotografia e cinematografia
38,Produtos diversos das indústrias químicas
39,Plásticos e suas obras
40,Borracha e suas obras
41,"Peles, exceto a peleteria (peles com pêlo*), e couros"
42,"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa"
43,Peleteria (peles com pêlo*) e suas obras; peleteria (peles com pêlo*) artificial
44,"Madeira, carvão vegetal e obras de madeira"
45,Cortiça e suas obras
46,Obras de espartaria ou de cestaria
47,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão de reciclar (desperdícios e aparas)
48,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão"
49,"Livros, jornais, gravuras e outros produtos das indústrias gráficas; textos manuscritos ou datilografados, planos e plantas"
50,Seda
51,Lã e pêlos finos ou grosseiros; fios e tecidos de crina
52,Algodão
53,Outras fibras têxteis vegetais; fios de papel e tecido de fios de papel
54,Filamentos sintéticos ou artificiais
55,"Fibras sintéticas ou artificiais, descontínuas"
56,"Pastas (""ouates""), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria"
57,"Tapetes e outros revestimentos para pavimentos, de matérias têxteis"
58,Tecidos especiais; tecidos tufados; rendas; tapeçarias; passamanarias; bordados
59,"Tecidos impregnados, revestidos, recobertos ou estratificados; artigos para usos técnicos de matérias têxteis"
60,Tecidos de malha
61,"Vestuário e seus acessórios, de malha"
62,"Vestuário e seus acessórios, exceto de malha"
63,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos"
64,"Calçados, polainas e artefatos semelhantes, e suas partes"
65,"Chapéus e artefatos de uso semelhante, e suas partes"
66,"Guarda-chuvas, sombrinhas, guarda-sóis, bengalas, bengalas-assentos, chicotes, e suas partes"
67,"Penas e penugem preparadas, e suas obras; flores artificiais; obras de cabelo"
68,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes"
69,Produtos cerâmicos
70,Vidro e suas obras
71,"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos, e suas obras; bijuterias; moedas"
72,"Ferro fundido, ferro e aço"
73,"Obras de ferro fundido, ferro ou aço"
74,Cobre e suas obras
75,Níquel e suas obras
76,Alumínio e suas obras
77,(Reservado para uma eventual utilização futura no SH)
78,Chumbo e suas obras
79,Zinco e suas obras
80,Estanho e suas obras
81,"Outros metais comuns; ceramais (""cermets""); obras dessas matérias"
82,"Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns"
83,Obras diversas de metais comuns
84,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes"
85,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios"
86,"Veículos e material para vias férreas ou semelhantes, e suas partes; aparelhos mecânicos (incluídos os eletromecânicos) de sinalização para vias de comunicação"
87,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios"
88,"Aeronaves e aparelhos espaciais, e suas partes"
89,Embarcações e estruturas flutuantes
90,"Instrumentos e aparelhos de óptica, fotografia ou cinematografia, medida, controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios"
91,Aparelhos de relojoaria e suas partes
92,"Instrumentos musicais, suas partes e acessórios"
93,Armas e munições; suas partes e acessórios
94,"Móveis, mobiliário médico-cirúrgico; colchões; iluminação e construção pré-fabricadas"
95,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios"
96,Obras diversas
97,"Objetos de arte, de coleção e antiguidades"
98,(Reservado para usos especiais pelas Partes Contratantes)
99,Operações especiais (utilizado exclusivamente pelo Brasil para classificar operações especiais na exportação)
